Ano;Cluster 1;Cluster 2;Cluster 3
1950;-0.24108330853718507;-0.11811013907469708;0.4115726627304359
1951;-0.28909279238660135;-0.24402075167544154;0.4002680501935049
1952;-0.17433336764777327;-0.18585521268832778;0.303261209731502
1953;-0.23290677794992218;-0.3019270087866866;0.29898987748396266
1954;-0.11832155465590173;-0.264350344343696;0.2489819895310266
1955;-0.0805843097389701;-0.2866412395490669;0.2124755931750105
1956;-0.06624393520803334;-0.28208974094040645;0.1450488366903978
1957;-0.010222804938220025;-0.2920867592495909;0.11544064074223588
1958;0.07639003116887379;-0.28758701391999447;0.11745761750717518
1959;-0.024526966252920154;-0.35656541945859244;-0.017897077431068123
1960;0.10683909065149186;-0.3407017843115159;0.01091051863405769
1961;-0.0655978117133249;-0.41387542413343026;-0.10586804260413969
1962;0.20829975497983202;-0.2657759579033319;-0.016529898354430313
1963;0.03371496582108559;-0.34150153460805366;-0.08851990397300215
1964;0.23786662045894652;-0.20602950201338419;-0.05152470472562862
1965;0.09160297763332896;-0.296814897968315;-0.1411146663716932
1966;0.2790970771559999;-0.20694425210285108;-0.07952832462110218
1967;0.20875975792979004;-0.23475064847559435;-0.14059033571949872
1968;0.2453694850601377;-0.14865210985105032;-0.11205539314897484
1969;0.24071286340333717;-0.13895081765553668;-0.08675817702488729
1970;0.2912610279453891;-0.05131952864315306;-0.01586068268584602
1971;0.3158327748548067;-0.023125026897686696;-0.04168026510988848
1972;0.3214958552158142;0.02163761316336517;0.02739189419816271
1973;0.29506992040249597;0.07014198141084023;0.05108517613304056
1974;0.29917330720065377;0.09721828653986336;0.0961038221266509
1975;0.30187362545537266;0.12388920995477223;0.10098030100029888
1976;0.36185075247083764;0.08637587839807749;0.11672651026510505
1977;0.28874882508763783;0.0936329066233416;0.11105474089887005
1978;0.30508401985271294;0.09558090753946916;0.14735427767714523
1979;0.28760941161648657;0.06539141930467111;0.12911478338672716
1980;0.30292402510449146;0.11752470716238814;0.20871586545488777
1981;0.28064403329987764;0.0413816784906937;0.08419634347998807
1982;0.22688205886718238;0.06174076180070974;0.15341439455282846
1983;0.315843932032365;-0.04529284374391511;0.032365908335719104
1984;0.13468823387840737;0.01264121477848247;0.12577285127896412
1985;0.18781034269463603;-0.020668704682211103;-0.00033638746475465886
1986;0.0578558478608593;0.016923979177190525;0.05423003647389425
1987;0.24685978686399368;0.03752187842195272;0.0030725759955801957
1988;-0.026570391938581732;-0.0005189977785492184;-0.04318166522299233
1989;0.03969994677357173;0.0070641184488936665;-0.07443764859986471
1990;-0.04814068033500081;-0.024005875087138466;-0.12969356520702607
1991;-0.010264324803774207;0.07790342708675249;-0.08730850303852968
1992;-0.06202231938385001;0.05174158175526045;-0.1614262060684812
1993;-0.05181884722245607;0.06303568169737275;-0.19636459853485028
1994;-0.07049124307945573;0.09268622142615601;-0.2414667859868593
1995;-0.09864675210399129;0.07955878321285596;-0.3129109867897441
1996;-0.12606028498702682;0.1185314100001735;-0.3259777310850943
1997;-0.06632023502374432;0.07486177339568005;-0.3776612919277296
1998;-0.04521914659097748;0.15487291901169847;-0.3398221915152374
1999;-0.03636443028063597;0.1407930156008445;-0.4277579266301577
2000;-0.05191433492677186;0.21355786868566856;-0.37347559458664653
2001;-0.08315443004590607;0.1851636351932333;-0.3763826453665466
2002;0.12352973875134286;0.27914690377237594;-0.2541051137200278
2003;0.01574004891988914;0.2979248507962041;-0.27620035991799236
2004;0.10553021703020352;0.3122040837376551;-0.17630775055237957
2005;-0.08857760431917121;0.29256258113359856;-0.21704149155986
2006;0.010096345380495232;0.27000759026399757;-0.1254831201153631
2007;-0.060578404884180544;0.33219613769534484;-0.07829437378492235
2008;-0.16386979206149424;0.22299243986925024;-0.07406757146037282
2009;-0.19173629168406514;0.3206351470397651;0.058886564722958154
2010;-0.34358073265121897;0.16240164457916428;0.03921813076708261
2011;-0.2848059484408557;0.31111904406312607;0.20594898403707645
2012;-0.5444748122481402;0.10880408570274608;0.12689587173490363
2013;-0.5247093750678329;0.1757109273988896;0.24632775316153188
2014;-0.802126294445389;-0.0037766776750637054;0.26231501497808374
2015;-0.8350712285650809;0.048481276845865395;0.3615814888842389
2016;-1.0427595707192754;-0.04162704604554307;0.4265191684513207
